A	B	score	A_gene	B_gene	AinRAP	BinRAP
9606.ENSP00000311028	9606.ENSP00000373404	987	RPS14	MRPL2	FALSE	TRUE
9606.ENSP00000196551	9606.ENSP00000404375	987	RPS5	RPL36A	TRUE	FALSE
9606.ENSP00000331019	9606.ENSP00000404375	987	RPS27L	RPL36A	TRUE	FALSE
9606.ENSP00000311028	9606.ENSP00000431040	987	RPS14	MRPL22	FALSE	TRUE
9606.ENSP00000272418	9606.ENSP00000346001	986	MRPS5	RPL3	TRUE	FALSE
9606.ENSP00000349428	9606.ENSP00000352438	986	PTBP1	PCBP2	TRUE	FALSE
9606.ENSP00000262033	9606.ENSP00000305958	985	PTGES3	STIP1	TRUE	FALSE
9606.ENSP00000296674	9606.ENSP00000330054	985	RPS23	EEF1A1	TRUE	FALSE
9606.ENSP00000309334	9606.ENSP00000330054	985	RPL15	EEF1A1	TRUE	FALSE
9606.ENSP00000264010	9606.ENSP00000361626	985	CTCF	YBX1	TRUE	FALSE
9606.ENSP00000350028	9606.ENSP00000401946	985	MOV10	TNRC6B	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000426909	985	RPL18A	RACK1	FALSE	TRUE
9606.ENSP00000330054	9606.ENSP00000435777	985	EEF1A1	RPS13	FALSE	TRUE
9606.ENSP00000289371	9606.ENSP00000346001	984	EIF5B	RPL3	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000346694	984	HNRNPA1	HNRNPA2B1	FALSE	TRUE
9606.ENSP00000330054	9606.ENSP00000362744	984	EEF1A1	RPS4X	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000364320	984	RPL3	MRTO4	FALSE	TRUE
9606.ENSP00000378699	9606.ENSP00000387286	984	CDC2	RAB1A	TRUE	FALSE
9606.ENSP00000230050	9606.ENSP00000404375	984	RPS12	RPL36A	TRUE	FALSE
9606.ENSP00000295930	9606.ENSP00000404375	984	RSRC1	RPL36A	TRUE	FALSE
9606.ENSP00000366620	9606.ENSP00000405573	984	H6PD	GPI	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000435096	984	RPL18A	RPS25	FALSE	TRUE
9606.ENSP00000404375	9606.ENSP00000462023	984	RPL36A	RPL17	FALSE	TRUE
9606.ENSP00000257497	9606.ENSP00000271638	983	ANXA1	S100A11	FALSE	TRUE
9606.ENSP00000202773	9606.ENSP00000330054	983	RPL6	EEF1A1	TRUE	FALSE
9606.ENSP00000330054	9606.ENSP00000346022	983	EEF1A1	RPL9	FALSE	TRUE
9606.ENSP00000251453	9606.ENSP00000404375	983	RPS16	RPL36A	TRUE	FALSE
9606.ENSP00000379339	9606.ENSP00000404375	983	RPS29	RPL36A	TRUE	FALSE
9606.ENSP00000404375	9606.ENSP00000435096	983	RPL36A	RPS25	FALSE	TRUE
9606.ENSP00000404375	9606.ENSP00000435777	983	RPL36A	RPS13	FALSE	TRUE
9606.ENSP00000300151	9606.ENSP00000311028	982	MRPL16	RPS14	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000352834	982	ACTB	MYO1C	FALSE	TRUE
9606.ENSP00000163416	9606.ENSP00000387286	982	GOLGA5	RAB1A	TRUE	FALSE
9606.ENSP00000333547	9606.ENSP00000387286	982	RAB11B	RAB1A	TRUE	FALSE
9606.ENSP00000348849	9606.ENSP00000393241	982	RPS26	RPS18	FALSE	TRUE
9606.ENSP00000226253	9606.ENSP00000405573	982	ALDOC	GPI	TRUE	FALSE
