A	B	score	A_gene	B_gene	AinRAP	BinRAP
9606.ENSP00000376889	9606.ENSP00000391723	766	NME2	PUM1	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000348634	765	ACTA2	MYH6	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000362413	765	UPF1	PGK1	FALSE	TRUE
9606.ENSP00000241600	9606.ENSP00000346027	764	MRPS2	RPL21	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000395772	764	RPL3	GNL3	FALSE	TRUE
9606.ENSP00000338573	9606.ENSP00000346001	763	GNL3L	RPL3	TRUE	FALSE
9606.ENSP00000286788	9606.ENSP00000305958	762	CCT8	STIP1	TRUE	FALSE
9606.ENSP00000252602	9606.ENSP00000346001	762	MRPL34	RPL3	TRUE	FALSE
9606.ENSP00000330054	9606.ENSP00000350052	761	EEF1A1	POTEF	FALSE	TRUE
9606.ENSP00000296802	9606.ENSP00000404375	761	NSA2	RPL36A	TRUE	FALSE
9606.ENSP00000265062	9606.ENSP00000311449	759	RAB7A	RAB6A	TRUE	FALSE
9606.ENSP00000313007	9606.ENSP00000371634	759	PABPC1	IGF2BP2	TRUE	FALSE
9606.ENSP00000307940	9606.ENSP00000404375	759	EEF2	RPL36A	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000362936	758	UPF1	TRNAU1AP	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000448035	758	RPL18A	NACA	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000417229	757	RPL3	EIF2A	FALSE	TRUE
9606.ENSP00000379065	9606.ENSP00000429931	757	TRPS1	EIF3H	TRUE	FALSE
9606.ENSP00000336702	9606.ENSP00000339027	756	EIF5A	RPLP0	FALSE	TRUE
9606.ENSP00000295822	9606.ENSP00000346027	756	EIF5A2	RPL21	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000355205	756	ACTB	INO80	FALSE	TRUE
9606.ENSP00000348578	9606.ENSP00000361626	756	G3BP1	YBX1	TRUE	FALSE
9606.ENSP00000336702	9606.ENSP00000393241	756	EIF5A	RPS18	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000342793	755	ACTA2	PLD1	FALSE	TRUE
9606.ENSP00000270202	9606.ENSP00000349960	755	AKT1	ACTB	TRUE	FALSE
9606.ENSP00000343745	9606.ENSP00000350028	755	DICER1	MOV10	TRUE	FALSE
9606.ENSP00000354722	9606.ENSP00000470004	755	EIF1AY	RPS19	FALSE	TRUE
9606.ENSP00000254108	9606.ENSP00000330054	754	FUS	EEF1A1	TRUE	FALSE
9606.ENSP00000228251	9606.ENSP00000438262	754	YBX3	TJP2	FALSE	TRUE
9606.ENSP00000217182	9606.ENSP00000346001	753	EEF1A2	RPL3	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000382177	753	ACTB	MYO5A	FALSE	TRUE
9606.ENSP00000295822	9606.ENSP00000404375	752	EIF5A2	RPL36A	TRUE	FALSE
9606.ENSP00000262395	9606.ENSP00000325240	751	TRAF4	LASP1	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000331602	751	ACTA2	PRKCD	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000348596	751	RPL3	SDAD1	FALSE	TRUE
9606.ENSP00000361949	9606.ENSP00000371634	751	PABPC4	IGF2BP2	TRUE	FALSE
9606.ENSP00000324948	9606.ENSP00000379051	751	SOX6	PURB	TRUE	FALSE
9606.ENSP00000306548	9606.ENSP00000401450	751	MRPL13	RPL28	TRUE	FALSE
9606.ENSP00000227378	9606.ENSP00000330054	750	HSPA8	EEF1A1	TRUE	FALSE
9606.ENSP00000350028	9606.ENSP00000363559	748	MOV10	EIF6	FALSE	TRUE
9606.ENSP00000348849	9606.ENSP00000431040	748	RPS26	MRPL22	FALSE	TRUE
9606.ENSP00000325875	9606.ENSP00000330054	747	HSP90AB1	EEF1A1	TRUE	FALSE
9606.ENSP00000312734	9606.ENSP00000349960	747	RAB8B	ACTB	TRUE	FALSE
9606.ENSP00000295156	9606.ENSP00000349960	746	VSNL1	ACTB	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000361824	746	ACTA2	SPTAN1	FALSE	TRUE
9606.ENSP00000336702	9606.ENSP00000419449	746	EIF5A	EIF1	FALSE	TRUE
9606.ENSP00000262056	9606.ENSP00000340691	745	EIF4B	EIF4EBP1	FALSE	TRUE
9606.ENSP00000355011	9606.ENSP00000358635	745	ILF2	SYNCRIP	TRUE	FALSE
9606.ENSP00000309629	9606.ENSP00000366563	745	CFL1	PIK3CD	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000382177	745	ACTA2	MYO5A	FALSE	TRUE
9606.ENSP00000301072	9606.ENSP00000309629	744	TUBA1C	CFL1	TRUE	FALSE
9606.ENSP00000258962	9606.ENSP00000358635	744	SRSF1	SYNCRIP	TRUE	FALSE
9606.ENSP00000352918	9606.ENSP00000429931	744	ARPC5	EIF3H	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000362744	743	ACTA2	RPS4X	FALSE	TRUE
9606.ENSP00000308897	9606.ENSP00000401450	742	MRPL11	RPL28	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000300161	741	ACTA2	YWHAB	FALSE	TRUE
9606.ENSP00000261601	9606.ENSP00000270625	740	USP14	RPS11	TRUE	FALSE
9606.ENSP00000358635	9606.ENSP00000404121	740	SYNCRIP	ILF3	FALSE	TRUE
9606.ENSP00000346027	9606.ENSP00000448035	740	RPL21	NACA	FALSE	TRUE
9606.ENSP00000311449	9606.ENSP00000448182	740	RAB6A	TBC1D15	FALSE	TRUE
9606.ENSP00000387307	9606.ENSP00000390783	739	RAB6C	SCFD1	TRUE	FALSE
9606.ENSP00000354722	9606.ENSP00000431040	739	EIF1AY	MRPL22	FALSE	TRUE
9606.ENSP00000354722	9606.ENSP00000462023	739	EIF1AY	RPL17	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000372088	738	ACTB	RAD51	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000357075	737	ACTB	TAGLN2	FALSE	TRUE
9606.ENSP00000225655	9606.ENSP00000347890	736	PFN1	DNM2	FALSE	TRUE
9606.ENSP00000272418	9606.ENSP00000404375	736	MRPS5	RPL36A	TRUE	FALSE
9606.ENSP00000323856	9606.ENSP00000404375	736	PLEC	RPL36A	TRUE	FALSE
9606.ENSP00000355541	9606.ENSP00000370258	735	HEATR1	EIF3CL	TRUE	FALSE
9606.ENSP00000262215	9606.ENSP00000387286	735	ARFGEF1	RAB1A	TRUE	FALSE
9606.ENSP00000382840	9606.ENSP00000433821	735	DDX3X	RPS3	FALSE	TRUE
9606.ENSP00000404375	9606.ENSP00000448035	735	RPL36A	NACA	FALSE	TRUE
9606.ENSP00000247207	9606.ENSP00000330054	734	HSPA2	EEF1A1	TRUE	FALSE
9606.ENSP00000347847	9606.ENSP00000349960	733	mkl1	ACTB	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000356290	731	RPL3	MTHFD1L	FALSE	TRUE
9606.ENSP00000362688	9606.ENSP00000382840	731	EIF3I	DDX3X	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000450560	731	RPL3	MTHFD1	FALSE	TRUE
9606.ENSP00000222388	9606.ENSP00000295598	729	ABCF2	ATP1A1	TRUE	FALSE
9606.ENSP00000290341	9606.ENSP00000355208	729	IGF2BP1	TPTE	FALSE	TRUE
9606.ENSP00000355208	9606.ENSP00000371634	729	TPTE	IGF2BP2	TRUE	FALSE
9606.ENSP00000290341	9606.ENSP00000372437	729	IGF2BP1	TPTE2	FALSE	TRUE
9606.ENSP00000371634	9606.ENSP00000372437	729	IGF2BP2	TPTE2	FALSE	TRUE
9606.ENSP00000274026	9606.ENSP00000391723	728	CCNA2	PUM1	TRUE	FALSE
9606.ENSP00000359539	9606.ENSP00000405573	728	GOT1	GPI	TRUE	FALSE
9606.ENSP00000338562	9606.ENSP00000390783	727	STX3	SCFD1	TRUE	FALSE
9606.ENSP00000262056	9606.ENSP00000419449	727	EIF4B	EIF1	FALSE	TRUE
9606.ENSP00000265316	9606.ENSP00000295598	726	ABCB6	ATP1A1	TRUE	FALSE
9606.ENSP00000269601	9606.ENSP00000300146	726	TXNL4A	PATL1	TRUE	FALSE
9606.ENSP00000263857	9606.ENSP00000370258	725	POLR1A	EIF3CL	TRUE	FALSE
9606.ENSP00000263657	9606.ENSP00000354722	724	PNO1	EIF1AY	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000362924	724	ACTA2	GSN	FALSE	TRUE
9606.ENSP00000348849	9606.ENSP00000373404	723	RPS26	MRPL2	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000419425	723	ACTB	PPIA	FALSE	TRUE
9606.ENSP00000196551	9606.ENSP00000336702	722	RPS5	EIF5A	TRUE	FALSE
9606.ENSP00000339566	9606.ENSP00000361626	722	HIST1H1C	YBX1	TRUE	FALSE
9606.ENSP00000263088	9606.ENSP00000309629	721	PLD2	CFL1	TRUE	FALSE
9606.ENSP00000309629	9606.ENSP00000342793	721	CFL1	PLD1	FALSE	TRUE
9606.ENSP00000295598	9606.ENSP00000355205	721	ATP1A1	INO80	FALSE	TRUE
9606.ENSP00000217652	9606.ENSP00000311449	720	MYL12A	RAB6A	TRUE	FALSE
9606.ENSP00000241052	9606.ENSP00000346027	720	CAT	RPL21	TRUE	FALSE
9606.ENSP00000264995	9606.ENSP00000404375	720	MRPL3	RPL36A	TRUE	FALSE
9606.ENSP00000352438	9606.ENSP00000410769	720	PCBP2	CNBP	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000418734	720	ACTA2	MYSM1	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000418734	720	ACTB	MYSM1	FALSE	TRUE
9606.ENSP00000296802	9606.ENSP00000401450	719	NSA2	RPL28	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000419449	719	UPF1	EIF1	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000255381	718	ACTA2	MYH4	FALSE	TRUE
9606.ENSP00000358159	9606.ENSP00000382840	718	ASCC3	DDX3X	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000245503	717	ACTA2	MYH2	FALSE	TRUE
9606.ENSP00000199320	9606.ENSP00000270625	716	DIMT1	RPS11	TRUE	FALSE
9606.ENSP00000336702	9606.ENSP00000345156	716	EIF5A	RPL14	FALSE	TRUE
9606.ENSP00000263657	9606.ENSP00000348849	716	PNO1	RPS26	TRUE	FALSE
9606.ENSP00000306548	9606.ENSP00000348849	716	MRPL13	RPS26	TRUE	FALSE
9606.ENSP00000311449	9606.ENSP00000349305	716	RAB6A	GOLGA4	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000355471	716	RPS11	TFB2M	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000355537	716	ACTA2	ACTN2	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000356134	716	RPS11	TFB1M	FALSE	TRUE
9606.ENSP00000241600	9606.ENSP00000404375	716	MRPS2	RPL36A	TRUE	FALSE
9606.ENSP00000292644	9606.ENSP00000330054	715	PSMC2	EEF1A1	TRUE	FALSE
9606.ENSP00000261015	9606.ENSP00000346001	715	WDR12	RPL3	TRUE	FALSE
9606.ENSP00000339027	9606.ENSP00000349960	715	RPLP0	ACTB	TRUE	FALSE
9606.ENSP00000262056	9606.ENSP00000307940	714	EIF4B	EEF2	FALSE	TRUE
9606.ENSP00000250416	9606.ENSP00000341826	714	PARP2	HNRNPA1	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000264705	713	UPF1	CAD	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000351284	713	ACTB	RAD52	FALSE	TRUE
9606.ENSP00000305958	9606.ENSP00000356652	713	STIP1	CACYBP	FALSE	TRUE
9606.ENSP00000346027	9606.ENSP00000363559	713	RPL21	EIF6	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000369965	713	RPL3	BTF3	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000343764	712	ACTA2	TTN	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000346120	712	RPS11	DDX21	FALSE	TRUE
9606.ENSP00000305995	9606.ENSP00000349960	712	PGK2	ACTB	TRUE	FALSE
9606.ENSP00000230050	9606.ENSP00000354722	712	RPS12	EIF1AY	TRUE	FALSE
9606.ENSP00000295930	9606.ENSP00000354722	712	RSRC1	EIF1AY	TRUE	FALSE
9606.ENSP00000336702	9606.ENSP00000355315	712	EIF5A	RPL39	FALSE	TRUE
9606.ENSP00000227524	9606.ENSP00000341826	711	PRPF19	HNRNPA1	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000352802	711	ACTA2	WIPF1	FALSE	TRUE
9606.ENSP00000005257	9606.ENSP00000361626	710	RALA	YBX1	TRUE	FALSE
9606.ENSP00000240055	9606.ENSP00000361626	710	NFYB	YBX1	TRUE	FALSE
9606.ENSP00000336702	9606.ENSP00000379339	710	EIF5A	RPS29	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000245539	709	ACTA2	MRPS7	FALSE	TRUE
9606.ENSP00000225792	9606.ENSP00000262803	709	DDX5	UPF1	TRUE	FALSE
9606.ENSP00000272102	9606.ENSP00000311449	709	ARF1	RAB6A	TRUE	FALSE
9606.ENSP00000225655	9606.ENSP00000355237	709	PFN1	CDC42BPB	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000361824	708	ACTB	SPTAN1	FALSE	TRUE
9606.ENSP00000300151	9606.ENSP00000401450	708	MRPL16	RPL28	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000283179	706	UPF1	HNRNPU	FALSE	TRUE
9606.ENSP00000264705	9606.ENSP00000350028	706	CAD	MOV10	TRUE	FALSE
9606.ENSP00000377892	9606.ENSP00000382840	706	SRSF5	DDX3X	TRUE	FALSE
9606.ENSP00000370258	9606.ENSP00000454836	706	EIF3CL	TBL3	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000284073	704	UPF1	MSI2	FALSE	TRUE
9606.ENSP00000338020	9606.ENSP00000352438	703	EIF4G1	PCBP2	TRUE	FALSE
9606.ENSP00000330054	9606.ENSP00000365131	703	EEF1A1	BAT3	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000450399	703	ACTA2	DNM1L	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000450399	703	ACTB	DNM1L	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000370508	702	RPS11	MTIF3	FALSE	TRUE
9606.ENSP00000281141	9606.ENSP00000371634	702	CDC123	IGF2BP2	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000247843	701	ACTA2	YEATS4	FALSE	TRUE
9606.ENSP00000239882	9606.ENSP00000382840	700	ELF1	DDX3X	TRUE	FALSE
9606.ENSP00000265495	9606.ENSP00000382840	700	ELF2	DDX3X	TRUE	FALSE
9606.ENSP00000225724	9606.ENSP00000387286	700	GOSR1	RAB1A	TRUE	FALSE
9606.ENSP00000309629	9606.ENSP00000449428	700	CFL1	TWF1	FALSE	TRUE
9606.ENSP00000311430	9606.ENSP00000354722	699	RPL4	EIF1AY	TRUE	FALSE
9606.ENSP00000254976	9606.ENSP00000390783	699	SNAP25	SCFD1	TRUE	FALSE
9606.ENSP00000257497	9606.ENSP00000293308	698	ANXA1	KRT8	FALSE	TRUE
9606.ENSP00000305958	9606.ENSP00000367208	698	STIP1	SUGT1	FALSE	TRUE
9606.ENSP00000262056	9606.ENSP00000368797	698	EIF4B	KBTBD7	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000473172	698	ACTA2	RUVBL2	FALSE	TRUE
9606.ENSP00000315017	9606.ENSP00000348849	697	MRPL1	RPS26	TRUE	FALSE
9606.ENSP00000302728	9606.ENSP00000349960	697	GUSB	ACTB	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000309572	696	UPF1	TERT	FALSE	TRUE
9606.ENSP00000345096	9606.ENSP00000382840	696	IMPDH1	DDX3X	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000324422	695	ACTA2	ZYX	FALSE	TRUE
9606.ENSP00000284957	9606.ENSP00000387286	695	RABGEF1	RAB1A	TRUE	FALSE
9606.ENSP00000390783	9606.ENSP00000410403	695	SCFD1	RAB34	FALSE	TRUE
9606.ENSP00000336702	9606.ENSP00000354125	693	EIF5A	EIF3B	FALSE	TRUE
9606.ENSP00000306382	9606.ENSP00000367220	693	MYO1B	ACTR2	TRUE	FALSE
9606.ENSP00000225655	9606.ENSP00000246069	692	PFN1	DSTN	FALSE	TRUE
9606.ENSP00000225655	9606.ENSP00000285093	692	PFN1	ACAA2	FALSE	TRUE
9606.ENSP00000307889	9606.ENSP00000336702	692	RPL13	EIF5A	TRUE	FALSE
9606.ENSP00000264995	9606.ENSP00000348849	692	MRPL3	RPS26	TRUE	FALSE
9606.ENSP00000257497	9606.ENSP00000384259	692	ANXA1	ATG4B	FALSE	TRUE
9606.ENSP00000245206	9606.ENSP00000405573	692	GOT2	GPI	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000371230	691	RPS11	AK3	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000419851	691	RPL3	GMPS	FALSE	TRUE
9606.ENSP00000327821	9606.ENSP00000330054	690	XPOT	EEF1A1	TRUE	FALSE
9606.ENSP00000299001	9606.ENSP00000350028	690	PIWIL4	MOV10	TRUE	FALSE
9606.ENSP00000233084	9606.ENSP00000361626	690	DDX1	YBX1	TRUE	FALSE
9606.ENSP00000306548	9606.ENSP00000390783	690	MRPL13	SCFD1	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000322175	688	RPS11	AK4	FALSE	TRUE
9606.ENSP00000295448	9606.ENSP00000405573	688	GNPDA2	GPI	TRUE	FALSE
9606.ENSP00000221419	9606.ENSP00000404121	687	HNRNPL	ILF3	FALSE	TRUE
9606.ENSP00000352657	9606.ENSP00000405573	687	ME3	GPI	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000418960	687	HNRNPA1	BRCA1	FALSE	TRUE
9606.ENSP00000300146	9606.ENSP00000313007	685	PATL1	PABPC1	FALSE	TRUE
9606.ENSP00000262056	9606.ENSP00000327191	685	EIF4B	CCT6B	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000354621	685	ACTA2	SMURF1	FALSE	TRUE
9606.ENSP00000261401	9606.ENSP00000309629	684	CORO1C	CFL1	TRUE	FALSE
9606.ENSP00000238146	9606.ENSP00000346001	684	DDX55	RPL3	TRUE	FALSE
9606.ENSP00000313007	9606.ENSP00000361626	684	PABPC1	YBX1	TRUE	FALSE
9606.ENSP00000417229	9606.ENSP00000429931	684	EIF2A	EIF3H	TRUE	FALSE
9606.ENSP00000314193	9606.ENSP00000370258	683	WDR75	EIF3CL	TRUE	FALSE
9606.ENSP00000314214	9606.ENSP00000387286	683	VAMP2	RAB1A	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000354558	682	UPF1	MTOR	FALSE	TRUE
9606.ENSP00000347271	9606.ENSP00000354722	682	RPS10-NUDT3	EIF1AY	TRUE	FALSE
9606.ENSP00000338020	9606.ENSP00000370258	682	EIF4G1	EIF3CL	TRUE	FALSE
9606.ENSP00000261313	9606.ENSP00000375730	682	PEBP1	RPL13A	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000410186	682	RPS11	AK9	FALSE	TRUE
9606.ENSP00000313007	9606.ENSP00000413964	682	PABPC1	LSM14A	TRUE	FALSE
9606.ENSP00000296417	9606.ENSP00000349960	681	H2AFZ	ACTB	TRUE	FALSE
9606.ENSP00000216181	9606.ENSP00000262056	680	MYH9	EIF4B	TRUE	FALSE
9606.ENSP00000239940	9606.ENSP00000309629	680	PFN2	CFL1	TRUE	FALSE
9606.ENSP00000221957	9606.ENSP00000387286	680	PLIN3	RAB1A	TRUE	FALSE
9606.ENSP00000283179	9606.ENSP00000413964	680	HNRNPU	LSM14A	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000295822	679	RPS11	EIF5A2	FALSE	TRUE
9606.ENSP00000309629	9606.ENSP00000355601	679	CFL1	EGLN1	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000262719	678	ACTA2	PHLPP1	FALSE	TRUE
9606.ENSP00000262719	9606.ENSP00000349960	678	PHLPP1	ACTB	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000350720	678	ACTA2	SMARCA4	FALSE	TRUE
9606.ENSP00000230340	9606.ENSP00000270625	677	BYSL	RPS11	TRUE	FALSE
9606.ENSP00000293831	9606.ENSP00000361626	677	EIF4A1	YBX1	TRUE	FALSE
9606.ENSP00000304565	9606.ENSP00000387286	677	RAB31	RAB1A	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000248444	676	ACTA2	VIL1	FALSE	TRUE
9606.ENSP00000341826	9606.ENSP00000360034	675	HNRNPA1	SERBP1	FALSE	TRUE
9606.ENSP00000361824	9606.ENSP00000398131	675	SPTAN1	GSPT1	TRUE	FALSE
9606.ENSP00000368927	9606.ENSP00000404375	675	EIF1AX	RPL36A	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000407552	675	ACTB	GAS7	FALSE	TRUE
9606.ENSP00000244520	9606.ENSP00000341826	674	SNRPC	HNRNPA1	TRUE	FALSE
9606.ENSP00000301364	9606.ENSP00000348849	674	TSR1	RPS26	TRUE	FALSE
9606.ENSP00000269571	9606.ENSP00000349960	674	ERBB2	ACTB	TRUE	FALSE
9606.ENSP00000303754	9606.ENSP00000349960	674	PPID	ACTB	TRUE	FALSE
9606.ENSP00000351664	9606.ENSP00000387286	674	MICAL1	RAB1A	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000407552	674	ACTA2	GAS7	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000415481	674	ACTB	PROM1	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000307940	673	UPF1	EEF2	FALSE	TRUE
9606.ENSP00000245539	9606.ENSP00000336702	673	MRPS7	EIF5A	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000362576	673	RPL3	YARS	FALSE	TRUE
9606.ENSP00000348849	9606.ENSP00000419449	673	RPS26	EIF1	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000346120	672	RPL18A	DDX21	FALSE	TRUE
9606.ENSP00000221419	9606.ENSP00000349748	672	HNRNPL	SFPQ	FALSE	TRUE
9606.ENSP00000346694	9606.ENSP00000351108	672	HNRNPA2B1	HNRNPAB	TRUE	FALSE
9606.ENSP00000262544	9606.ENSP00000387286	672	SEC23B	RAB1A	TRUE	FALSE
9606.ENSP00000350052	9606.ENSP00000398131	672	POTEF	GSPT1	TRUE	FALSE
9606.ENSP00000254963	9606.ENSP00000305958	671	HSPA12B	STIP1	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000362413	671	ACTA2	PGK1	FALSE	TRUE
9606.ENSP00000251453	9606.ENSP00000336702	670	RPS16	EIF5A	TRUE	FALSE
9606.ENSP00000362153	9606.ENSP00000370258	670	GNL2	EIF3CL	TRUE	FALSE
9606.ENSP00000325240	9606.ENSP00000347890	669	LASP1	DNM2	FALSE	TRUE
9606.ENSP00000006275	9606.ENSP00000387286	669	TRAPPC6A	RAB1A	TRUE	FALSE
9606.ENSP00000264995	9606.ENSP00000401450	669	MRPL3	RPL28	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000417229	669	RPS11	EIF2A	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000305995	668	ACTA2	PGK2	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000348283	668	ACTA2	WWP2	FALSE	TRUE
9606.ENSP00000348283	9606.ENSP00000349960	668	WWP2	ACTB	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000354621	668	ACTB	SMURF1	FALSE	TRUE
9606.ENSP00000246069	9606.ENSP00000367220	668	DSTN	ACTR2	TRUE	FALSE
9606.ENSP00000228251	9606.ENSP00000233084	667	YBX3	DDX1	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000301072	667	ACTA2	TUBA1C	FALSE	TRUE
9606.ENSP00000264705	9606.ENSP00000336702	667	CAD	EIF5A	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000348578	667	HNRNPA1	G3BP1	FALSE	TRUE
9606.ENSP00000216038	9606.ENSP00000333813	666	RTCB	ALG12	FALSE	TRUE
9606.ENSP00000316042	9606.ENSP00000351108	666	HNRNPA0	HNRNPAB	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000433821	666	HNRNPA1	RPS3	FALSE	TRUE
9606.ENSP00000254193	9606.ENSP00000358635	665	SNRPA1	SYNCRIP	TRUE	FALSE
9606.ENSP00000225655	9606.ENSP00000361777	665	PFN1	SET	FALSE	TRUE
9606.ENSP00000323856	9606.ENSP00000354722	664	PLEC	EIF1AY	TRUE	FALSE
9606.ENSP00000350028	9606.ENSP00000355011	664	MOV10	ILF2	FALSE	TRUE
9606.ENSP00000398131	9606.ENSP00000417401	664	GSPT1	HELZ2	FALSE	TRUE
9606.ENSP00000261313	9606.ENSP00000302486	663	PEBP1	MAP2K1	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000348215	663	ACTA2	SH3PXD2A	FALSE	TRUE
9606.ENSP00000265100	9606.ENSP00000354722	663	RPL26L1	EIF1AY	TRUE	FALSE
9606.ENSP00000293842	9606.ENSP00000354722	663	RPL26	EIF1AY	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000357283	663	ACTB	LMNA	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000358022	663	ACTB	MCL1	FALSE	TRUE
9606.ENSP00000309629	9606.ENSP00000358417	663	CFL1	PHGDH	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000362674	663	UPF1	HDAC8	FALSE	TRUE
9606.ENSP00000288235	9606.ENSP00000367220	663	MYO1E	ACTR2	TRUE	FALSE
9606.ENSP00000370258	9606.ENSP00000419851	663	EIF3CL	GMPS	FALSE	TRUE
9606.ENSP00000309629	9606.ENSP00000336831	662	CFL1	PLS1	FALSE	TRUE
9606.ENSP00000341826	9606.ENSP00000346050	662	HNRNPA1	RPS3A	FALSE	TRUE
9606.ENSP00000348215	9606.ENSP00000349960	662	SH3PXD2A	ACTB	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000354522	662	HNRNPA1	TOP1	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000386226	662	RPL18A	RBM34	FALSE	TRUE
9606.ENSP00000350028	9606.ENSP00000404121	662	MOV10	ILF3	FALSE	TRUE
9606.ENSP00000370258	9606.ENSP00000423067	662	EIF3CL	WDR36	FALSE	TRUE
9606.ENSP00000305958	9606.ENSP00000358814	661	STIP1	AHCYL1	FALSE	TRUE
9606.ENSP00000309629	9606.ENSP00000368699	661	CFL1	ISG15	FALSE	TRUE
9606.ENSP00000376178	9606.ENSP00000390783	661	STX2	SCFD1	TRUE	FALSE
9606.ENSP00000254322	9606.ENSP00000398131	661	DNAJB1	GSPT1	TRUE	FALSE
9606.ENSP00000248444	9606.ENSP00000349960	660	VIL1	ACTB	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000358994	660	ACTA2	MYO6	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000358994	660	ACTB	MYO6	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000362576	660	RPS14	YARS	FALSE	TRUE
9606.ENSP00000358921	9606.ENSP00000398131	660	ACTR1A	GSPT1	TRUE	FALSE
9606.ENSP00000251636	9606.ENSP00000262056	659	DHX29	EIF4B	TRUE	FALSE
9606.ENSP00000221419	9606.ENSP00000334499	659	HNRNPL	PTBP3	FALSE	TRUE
